"location","company_name","job_title","job_description"
"Hoboken","Umicore","nieuwProject Manager Engineering","About Umicore

Reducing harmful vehicle emissions. Giving new life to used metals. Powering the cars of the future. As a global materials and technology group, we apply our specialist knowledge to offer materials and solutions that are essential to everyday life. We aim to be a clear world leader in materials for clean mobility and recycling and have turned our sustainability approach into an even greater competitive advantage. With ambitions like this, imagine what you could do?

About Precious Metals Refining

The world’s resources are scarce. Umicore’s refining and recycling technology gives used metals a new lease of life. We are experts in treating the most complex materials from around the world. Our processes help bring value to the circular economy and reduce environmental impacts. To recover more metal from different types of material we cannot stand still. We need to find new ways to do things, discover new solutions and develop new processes. Which is where you come in.

What you will be doing

At Umicore in Hoboken we recycle up to 17 different metals in a technologically innovative way. We want to do this in a safe and healthy and environmentally friendly way. For example, our ambition is to do this in a CO2-neutral way by 2035.
As a Project Manager Engineering you will help to realize all projects from the ambitious project portfolio of Umicore's Engineering department in Hoboken.
Your Function more in detail :
As a project manager you independently lead projects from A to Z. You examine the study request from production and make a good project plan. Together with your team you propose a technical solution, work it out and implement it. Ultimately, you ensure a good start-up and delivery.
You coordinate and motivate a team of about 10 colleagues, consisting of designers and other project managers, who together draw a portfolio of 30-50 projects. These projects range from revamps and brown fields to green fields, and vary from a few 100,000 euros to several millions.
You are part of the Management Team of our department in order to drive and optimize our service processes so that all our people can use their talents for Umicore without any obstacles and with a good feeling.
Who we are looking for
You have a master degree in engineering or in applied sciences
You have the drive to use your technical knowledge to make the right technical choices in order to build robust, safe and clean (= environmentally friendly) installations
You work according to the best practices in Project Management (e.g. IPMA)
You have a sense of responsibility and initiative to independently bring a project to a successful conclusion in all its phases
You have a sense of propriety in order to comply with our standards and legislation and to deliver and finish a project with all its documentation and anchoring in our systems
You are a caring leader
Safety is in your genes
What we offer

We aim to lead the way. Not just for our customers, but for our employees too. That is why we strive to create a collaborative environment in which we can all succeed, and a culture through which we can all share ideas, develop our expertise and advance our careers. We engage in building an inclusive work culture that offers equal opportunities for all employees irrespective of their diverse backgrounds. As you would expect from a world-leading organisation, we will also reward your contribution with a competitive salary and benefits. With all this and more, imagine what you could do?

IF OUR RECYCLING CAPABILITIES CAN HELP TACKLE RESOURCE SCARCITY, IMAGINE WHAT YOU COULD DO?"
"Evere•Tijdelijk thuiswerken","Efficy CRM","Project Manager","Project Manager/Analyst (m/f/x) – BrusselsWithin the company's project department and under the responsibility of a team leader, you will be in charge of negotiating the global vision and profitability study of the project with the customer, writing the functional specifications and will be able to find technical solutions with your team of developers.MissionNot one project is the same, and you will be juggling with multiple projects at the same time! Are you able to prioritise in the following tasks?Leading and managing the deliverables to deliver the CRM solution for external clients.Scope the expectations of the customer and focus on the standard features of our CRM.Coordinate and facilitate all activity to ensure successful delivery of their projects or programs.Translate current state into functional requirements and technical specifications.Define a project implementation plan to address improvement opportunities.Follow up with customers, communicating potential future standards and benefits.Assist technical teams in the development of the project.Lead the delivery with the team and client through the implementation process.Manage the expectations of the customers.Complete implementation (cost and effort) estimates that are attainable and measurable.Prioritize activities to meet the requirements.Improve existing approaches into fresh, alternative solutions.Act as a liaison between customer, stakeholders and technical teams.ProfileAs our customers deserve the best CRM solution on the market, delivered in time and withing the budget agreed, we expect the following minimum requirements:3-5 years of experience or plus in project management/analysis or relevant experience, consulting background is a plus.Analytical and customer centric mindset.Fluent in Dutch or French+ English.Ability to lead several projects at once that have a common goal.Flexible approach, willing to wear multiple hats if needed.Ability to travel.Master’s degree or equal by experience in computer science, technology or related field.And that’s not all, to be sure you can meet our expectations and those of our customers, we require the following qualifications:Strong analytic skills, background in functional analysis required.Experience with custom and CRM solutions.Passion for leading and managing major change projects/programs – career minded and oriented to this role.Strong track record of leading successful change projects/programs from start to finish as the lead.Ability to think strategically (big picture) and tactically in regards to project planning, scoping, budgeting, and quality.Demonstrated ability to estimate project efforts and manage client expectations.Understanding and appreciation of processes/procedures and governance required to lead projects and programs.Ability to manage tight timelines, limited resources and still deliver on time and within scope.Ability to capture the current state of the customer businesses and map out processes to implement solutions to customer’s complex business issues by respecting the standard of our application.What do we offer?Of course, you will be well rewarded for delivering our customers’ projects in time and without problems. This starts as early as your first day, where you end up within a close and well-attuned team that are all passionate and motivated to deliver the best CRM to demanding and inspiring customers.Our values 'Openness', 'Efficiency' and 'We care' do not only apply to our customers, but of course also to our employees. You will therefore work in one of our spacious offices where relaxation areas, a weekly fruit basket and quality coffee are standard.Last but not least, we offer fun... a lot of fun! Besides ending up in an office with a pool table, we organize game nights and themed meals, as well as 'End of Year Challenges' and the now famous annual trip.Who are we?We can't leave without some figures about the Efficy Group. With 600 talented people based in 15 countries, the Efficy Group is a key player in the CRM market. We have already attracted 13.5000 customers. And we don't intend to stop there.Our ambition? To become the #EuropeanCRMChampion.Joining the Efficy Group means taking part in an exciting and stimulating adventure.Job Types: Full-time, PermanentSalary: From €2,500.00 per monthBenefits:Cell phone reimbursementCompany carCompany computerCompany phoneEco vouchersFlexible scheduleFood allowanceFuel cardHospitalization insuranceInternet reimbursementLife insuranceMileage reimbursementStock optionsWork from homeSchedule:Day shiftSupplemental Pay:13th month salaryWork Remotely:Temporarily due to COVID-19"
"België","TMC","ASIC PROJECT MANAGER","Belgium
We are looking for an experienced Project Manager, who has a good knowledge of ASIC processes and network within the semiconductor industry.
| JOB DESCRIPTION:
As ASIC Project Manager, you have full responsibility of budget, planning and all deliverables on ASIC projects.
Working on ASIC test and packaging solutions for customers, as well as yield optimization
Characterization, qualification, ramp-up and safe launch of an NPI
Reporting to management
| WE ARE LOOKING FOR:
M.Sc. in Engineering or Science
Expertise in digital, mixed signal or RF/analog experience
At least 5 years of relevant project management experience
10 years of industrial or advanced development experience
You have an international network of companies and/or research institutes
| WHAT YOU CAN EXPECT OF TMC:
TMC is a technology and science consultancy company that brings expertise to their clients in order to support them with the realization of their technological challenges. As such, TMC is operating as an expert center at the disposition of its clients in order to help them to be more competitive in an ever more global and faster changing technological world.
TMC is truly unique thanks to our business model called the Employeneurship model which comes as a true innovation for the High Technology consulting business. It's the business relationship of the 21th century for high skilled Engineers & Scientists, and our model is built around 5 main pillars:
Permanent employment contract, offering you stability and security
Individual profit sharing: know your market value and share in the profit your work generates
One-on-one coaching and trainings designed to help you develop your entrepreneurial skills
The competence cells structure, providing a strong relevant network
The entrepreneurial lab: a playground for new ideas and a launching for start-ups
TMC is an equal opportunity employer and values diversity. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status.

Is TMC a perfect fit for you?
Feel Free to Contact
Bob Vangeel
Business Manager, Belgium
Tel: (+32) 476 80 76 90"
"België","REPLY","Manager ESG","Manager ESG
Tasks
As a Manager in our ESG Practice, you will be responsible for leading our ESG practice and building out the offering. You will be leading the team, working on projects related to the implementation of ESG reporting. This can include defining the ESG framework, implementing the ESG processes (data collection, governance, …) and harmonizing the interaction between the ESG initiatives and the relevant departments of the company. You will act as an advisor and change manager for the organisation you will work for (implementation of transversal processes, project follow-up, resources management, KPI’s,…).Concretely, your responsibilities will include:
Business Development: lead long term initiatives for group of clients
Organize and lead workshops/round tables to capture core information
Assist and contribute in identifying strategic or operational issues and propose solutions
Shape target operating models, business processes and identify organizational impacts
Drive or support multidimensional and/or complex initiatives
Manage and structure several projects or clients
Demonstrate expertise, professionalism and vision
Interact with / listen to the client, showing professionalism, in order to accurately capture his ideas, expectations and concerns by asking questions to clarify priorities and potential issues
Anticipate regulatory evolutions, including them in the framework you are developing with your clients
In your engagements you will provide your client with innovative digital solutions allowing them to drive their companies in the new ESG framework.
Developing internal capabilities and inspire/mentor young potentials.
Manage and coach one or several teams (senior / junior consultants)
Deliver sustainable solutions for the client
Benefits
Development opportunities – we invest in the development and progression of our people to maximise their potential. All of our current partner group have been promoted from within the firm.
Great place to work – we are a non-hierarchical organisation and promote openness, teamwork and knowledge sharing within the firm and wider Group of companies.
Competitive remuneration – we offer a competitive base salary and flexible benefits package. In addition, we offer a range of incentives and bonuses to reward performance and to align individuals’ incentives with those of the firm and our clientsQualifications
Master degree in (Applied) Economic Sciences, Business Engineering or any other master completed by a degree in Management Sciences
Experience in ESG and sustainable finance is a must; experience in green lending is a plus
Candidates with experience in consulting in sustainable finance will have a head start
Excellent communication skills (written and oral) in French and Dutch
Good working knowledge of English
Eagerness to contribute in a team-oriented environment
Entrepreneurial and creative mindset
Strong analytical skills
Ability to work creatively in a problem-solving environment
Ability to lead project team and act as interface with the client project manager
Strong leadership skills and ability to build immediate credibility with executive clients
About Avantage Reply
There's never been a better time to join Reply. More than 8500 of us are united behind delivering quality services and solutions to our clients in Financial Services, Manufacturing, Retail, Telco & Utilities...
Avantage Reply, Reply's financial services management consultancy, has 14 offices across Europe (Amsterdam, Berlin, Brussels, Frankfurt, Hamburg, London, Luxembourg, Milan, Munich, Paris, Rome, Vienna, and Zurich).
In the context of our growing activities in Brussels, be part of an experienced team working with diverse clients (retail banks, investment banks, custodians, central counterparties, brokers) on Risk/ Finance management, asset and liability management (ALM), and regulatory change.
Years of Experience 8+"
"België","Xenics","Project Manager","Job Description

Xenics is a pioneer of path-breaking infrared technology with a proven track record of more than 20 years. Xenics designs and markets infrared detectors, cores, and cameras of best-in-class image quality to support innovative R&D, industrial automation, machine vision, process control and high-end security applications. The company offers a complete portfolio of line-scan and area-scan products with a global sales network.
We are currently looking for a Project Manager. As the project manager, you will be responsible for the definition/planning and on-time, on-spec, on-budget execution of a variety of projects related to our infrared cameras and/or sensor solutions (product and process-implementation projects). You will act as the first point of contact towards the “external world” (e.g., customers, suppliers, funding authorities, co-development partners) and will be planning/steering the internal and external resources (matrix organization).

This includes the following tasks:
Your responsibilities encompass the successful planning and correct implementation of the entire project flow, from concept to delivery.
As a number of projects will entail working in a consortium with other partners and could be funded by government grants, the ideal candidate has hands-on experience with this type of project management in which tracking of cost, schedule (% completion), administration and collaboration with a large (external) consortium is key to success.
Since some of these consortia will typically use Dutch as the prevailing language, excellent knowledge of this language is required.
Desired Competencies
A master degree in a technical discipline (engineering, physics, … ).
You have a proven track record in people/project management; 5+ years relevant experience is a must.
You are well organized, maintaining overview, being able to distinguish important and less important matters, accurate and very result-driven.
You possess good communication skills (clear and to-the-point) and are able to express yourself fluently in Dutch and English; French is an asset.
Ideally, you have a track record working with external funding agencies (Flemish, EU, …).
You are eager to learn, you are dynamic, motivated and responsible.
You are a mature person who takes ownership and pro-actively avoid risks or finds ways to solve (rather than reporting the problems without suggested solution).
You are very (internal/external) customer and business-oriented.
You are respectful and have high ethical values in all encounters.
Embrace a big future with us!
Work with a dynamic team in a high-tech company full of challenges and opportunities ahead. Our flexible working environment will give you many opportunities to take initiatives and responsibilities."
"Brussel","Setelia","Setelia - Site Project Manager","We are looking for a Site Project Manager. You will ensure a complete follow-up of all site activities done on the standalone network (New sites, Relocations, Bands or technology addition, Redesigns,...)

Freelance/Employee
Home office : 2 to 3 days/week
English

Description

Responsible to manage large projects, to steer the virtual teams throughout the different departments

Responsible to ensure that the business or technical projects are delivered on time, on-scope and on-budget through the use of the methodology while ensuring continuous alignment between the various stakeholders (within impacted teams)

This follow up will include Organisation and lead of Monthly cluster meetings with all concerned parties (Negotiators, site engineers, Radio engineers, permit coordinators, ...) All projects prepared in a dedicated geographical area (=Cluster) are discussed, priorities are given and action points are distributed. The action point list is reworked and the respect of due dates is controlled.

+ extra dedicated monthly meetings for transmission follow-up

With the management of the Financial control, Data quality, KPI's parts.

Skills

Proven experience as dedicated Project Manager in complex environments
Proven successful management for multiple End-To-End major business/technical projects Technical skills:
Familiar with Simad
Familiar with Office Tools : Word, Excel (daily uses!), MS-Access, MS Project and PowerPoint

Offer

Freelance /Employee
Competitive remuneration in line with your experience.
A market leading technology environment.
Long term contract"
"Charleroi","Alstom","Project Industrial & Sourcing Manager","Req ID: 149962

We create smart innovations to meet the mobility challenges of today and tomorrow. We design and manufacture a complete range of transportation systems, from high-speed trains to electric buses and driverless trains, as well as infrastructure, signalling and digital mobility solutions. Joining us means joining a truly global community of more than 75 000 people dedicated to solving real-world mobility challenges and achieving international projects with sustainable local impact.
OVERVIEW:
To assure for the projects he/she is responsible for, the management of the industrialization, the production and the delivery of articles on the customer site.

If applicable for the project, to organize the transfer of the product to other Alstom Units or to external suppliers.
POSITION IN THE ORGANIZATION:Organisational reporting:
Reporting hierarchically to the Industrial Tenders & Projects Operations Manager .

Reporting functionally to the Project Manager.

Network & Links
Internal links with Project core team: Project Manager, Project Engineering, Project Quality Manager… and the various departments he/she uses.
External links: external Project Manager if it is the case / customer for dedicated topics linked to deliveries
SPECIFIC RESPONSIBILITIES OF THE ROLE:
Delivers in QCD the industrialisation, production and delivery workpackages; provides the adequate WP reporting for the project.

For all products needed by the project, defines the project Industrial Requirement Specification, including the industrial scheme up to the customer or site delivery and the make or buy strategy in line with sourcing strategy and the product industrial schemes defined by the Product Industrial Managers; ensures that project Industrial Reviews are passed on time.

Ensures an adequate coverage for the project, balancing the inventory objectives with the project industrial schedule; ensures that the project demand is up to date in the ERP; coordinates the intersite procurement, especially if some anticipation is needed.

During project execution, coordinates the resolution of project-specific industrial issues before takeover by After Sales department for the warranty phase.

Coordinates the execution of the project-related actions decided by the Industrial Change Control Board (impact on customer, retrofit,...)

Coordinates the transfer of activities to the Receiver (Alstom Unit or external supplier) by preparing the transfer documentation, organizing the assistance, monitoring the receiver in his procurement and industrialization.
DESIRED SKILLS & EXPERIENCE:Competencies :
Good autonomy and contacts (ability to communicate and build relationships)

Open mindness, willingness to understand and learn

Customer orientation

Rigour, pragmatism and synthetic mind

Dynamic and firm

Capacity to advance things
Previous experience : Demonstrated experience in project management with good notions of cost control
Technical Skills :
Good understanding of the basics of an industrial manufacturing process (Bill of material, ERP, MRP,…)

Knowledge of problem solving techniques

Knowledge of work planning, organisation and control

Office tools utilisation

SAP knowledge is an asset
Education: Master's degree in a commercial or technical domain
Language skills : Fluency in French and English
Job Location: Charleroi, Belgium with possibility to travel occasionally

An agile, inclusive and responsible culture is the foundation of our company where diverse people are offered excellent opportunities to grow, learn and advance in their careers. We are committed to encouraging our employees to reach their full potential, while valuing and respecting them as individuals.
Job Type: <U+200B>Experienced"
"Brugge","International Flavors & Fragrances","Engineering Project Manager (m/v)","Engineering Project Manager (m/f)

IFF Brugge (also known as “De Gistfabriek”) is a food company located in the center of historic Bruges and produces enzymes. IFF Brugge is part of the listed company IFF (www.iff.com ). Our enzymes are used in beer, bread, animal feed, bio-fuels, textiles, detergents, etc.
Producing enzymes is a high-tech and complex biochemical process. We are proud of our specialist knowledge on site.
To support our growth, we are looking for an engineering project manager (m/f):
You are part of the engineering team. You plan, budget, organize and supervise engineering projects. In this way, you realise the delivery of engineering projects within the defined project scope.
In this expert role you have a lot of autonomy as well as the opportunity to collaborate with many internal & external stakeholders.

Responsibilities
Analyze assigned project ideas and check technical elaborations with the engineering manager. By interacting with stakeholders (internal & external) you define a comprehensive project scope. Perform ROI analysis as input for substantiated decision making.
Define and elaborate the content of the selected projects and balance between project scope, costs, technical feasibility, timing, etc. A substantiated and structured project plan is the result and the start of the project.
Coordinate & organize the various activities within the project taking into account the priorities and skills of project members. In addition to monitoring the project scope, timing and evaluation of the technical specifications, you are responsible for the internal communication of the project; as well as coaching the project members.
You take care of the formal handover and knowledge transfer upon delivery of the project to guarantee and secure a safe, maintainable and optimal performing installation for the organization.
As a technical & project expert you update your knowledge level in line with the needs of the role and department
Candidate Profile
Teamplayer, expert in communication , networker and very strong analyical skillsIdeally, you have received training as an industrial engineer electromechanicsYou have a few years of proven experience in managing engineering projects.You work very autonomously and you plan activities (both short and long-term) so that the organization has insight into project progress.You work independently, at the same time you align actions with the company goals.You enjoy exploring technical alternatives with a positive impact on projects.You work proactively and you are convinced of continuous improvement to be the essence of your role.You help to strengthen our safety culture (food, environment, safety).In addition to the Dutch language, you are fluent in English (written & spoken).
Offer
The opportunity to become part of a passionate team of employees within an international context with top-class technology & science.A full-time role with 21 extra-legal vacation days
Flexible hours to balance work & private lifeA well defined role with support and coachingCareer opportunitiesWe are proud of our family business cultureCompetitive salary package supplemented with various extra-legal benefits (meal vouchers, group insurance, hospitalization insurance, dental insurance, supplementary parental leave , bicycle lease, bicycle allowance, social activities,…).
Application

Apply directly by uploading your motivation & CV via the below link.
For additional information, please contact our local HR department on 050/44 92 00 (Mrs. De Smet) or 050/ 44 92 90 (Mrs. Spousta).
We will treat your application confidentially. You can count on our feedback.

At IFF, we believe that your uniqueness unleashes our potential. We are proud to be an Equal Opportunity Employer and are committed to providing a diverse and inclusive workplace. Visit IFF.com/careers to learn more about our Equality Policy."
"Mechelen","BBC NV","nieuwDigital Project Manager","We are looking for a Digital Project Manager to strengthen our team. You will be the driving force behind BBC’s digital studio full of talented UX designers, developers, and digital creatives. Also, you’ll work closely with brand planners, external parties, and our (inter)national customers.
Description
Who are we looking for?

We’re looking for somebody who can manage complex digital projects (websites, platforms, apps…): Timings, budgets, leading and supporting your team, the goals of our clients and the needs of their customers. You know how everything works and where you can get the necessary input if anybody has questions.

You want to learn and follow new trends to keep yourself and your colleagues sharp and to improve the quality of your projects. Knowledge of Agile is a plus and you love to share your expertise. We’re looking for somebody who already has years of experience and can express themselves fluently in both Dutch and English (written and spoken).

You’re not afraid to look at a problem in a different way. Taking responsibility motivates you, especially when the going gets tough. After a completed project you can openly share learning and report back to all involved to optimise the process for the future.

What can you expect?

You’ll be a driving force behind BBC’s digital studio (designers and developers). Together with this team you’ll come up with the best solutions for our clients and realise complex projects on their behalf. You’ll work side-by-side with the creative and account teams, other specialists within BBC and various external parties, where you’ll take responsibility for making sure the process runs smoothly.

Of course, our (international) clients are also waiting to meet you! You’ll be amazed how fascinating the world of B2B is and how much you can learn from them… the experts in their field. If you’re eager to learn and want to work together on exciting projects, you know what to do!

Where will you land?

At BBC, right next to the station in Mechelen.

Alongside 62, if we do say so ourselves, awesome creative colleagues.

In a place that pops. A place for your ideas and where you’re encouraged to swim against the stream. A place with an infectious ambition to deliver the best work and where colleagues also hang out after hours. It goes without saying that your work will also be valued and rewarded well.
Who are we? Well, we are 62 colleagues who …
make kick-ass B2B and HR communication
work hard but also play hard. And always as 1 team
enjoy boundless thinking and working
literally and figuratively. Because all over the world, our customers are waiting for your finest creations
work in our new offices in Ghent and Mechelen
near the train station. Easy commute? Check!"
"Leuven","Qplox Engineering","ASICP Project Manager","As project manager you will be responsible for the scope, schedule, cost and many more management aspects of the project."
"Wetteren","PreviewLabs","Looking for a Creative Project Manager","Creative Project Manager (m/f)
PreviewLabs is a company specialized in the development of prototypes for games and other

projects using game development technology. We work for clients all over the world, including for

game developers, game start-ups, and research institutions, who use these prototypes to evaluate,
improve and pitch concepts.

To enable further growth, we are looking for a project manager. Your responsibility would be to

overview the prototyping projects from start to end, including:
Conversations with the client to understand their vision, while actively recommending ideas
and asking the right questions to help shape the client's vision if needed.
Writing out project proposals (PDDs – Prototype Design Documents).Working with our programmers to estimate the projects.Reviewing prototypes as they're under development, ensuring they meet our quality
standards and the client's vision, while keeping an eye on the time frame.Testing the prototypes to make sure the quality level is where it needs to be, and that
everything is in line with the client expectations.Writing out various insights and recommendations gained during the prototyping process.

Requirements
• You're able to empathize with clients in order to understand why they are excited about
their project.You have strong analytical skills, allowing you to build a mental image of the project, and
asking the right questions in order to gain full understanding.You're well organized, and able to manage multiple projects and incoming requests at the
same time, while staying on top of everything.You're strong in written and verbal communication.You have an eye for detail.You have a strong desire to keep improving your skills.Fluency in English, able to write with style.If you look at existing games or software, you're never short of ideas on how they could be
improved.An understanding of the different steps taken during game development projects.You're a gamer and have already played trough a variety of video games.A deep interest in technology.

Pluses
• Multiple years of professional experience in project management.Experience with game testing.Experience with game prototyping.Experience with version control systems such as SVN.Game programming experience.

Practical Information
• The job will take place on-site at our location in Wetteren, Belgium.We offer a long term contract at an attractive salary package.

To apply for this position, you can contact us through our contact form at

http://www.previewlabs.com/contact

PreviewLabs Creative Project Manager March 4, 2016"
"Louvain-la-Neuve","N-SIDE","Life Sciences Project Manager","At N-SIDE, we turn the most complex challenges into opportunities. We are an international and dynamic team of passionate and innovative mathematicians, software engineers and business experts. Our integrated optimized solutions facilitate complex business decision-making processes using Data Analytics, Machine Learning and other Data Science approaches.
We are looking for a Life Sciences Project Manager to join our Life Sciences department based in Louvain-la-Neuve, Brussels Area, Belgium. As a Life Sciences Project Manager, you will have the opportunity to manage projects aimed at identifying and improving processes, services and action plans that will ultimately contribute to improved efficiency and optimization of clinical trials at our pharma partners.
What you’ll do
You will learn to use our clinical trial forecasting, risk management, and optimization software to provide operational and strategic insights to our pharma partners to manage risk and decrease the waste and cost of their trials
You will define project scope and objectives, involving all relevant internal and external stakeholders and ensuring technical feasibility and a timely and within scope delivery
Establish, maintain relationships and coordinate internal resources and third parties/vendors to ensure the successful execution of projects
You will develop detailed project plans to monitor, track and measure progress as well as proactively perform risk assessments and involving management whenever necessary
Create and maintain project documentation following our internal processes and guidelines
Bring added value to N-SIDE and our pharma partners by proposing creative ideas and suggestions, recognizing strategic opportunities for change and understanding the underlying needs within each project, making decisions with the client in mind and delivering high quality services
About you
You have a Master Degree in Engineering/Business or related fields;
You have 3 to 6 years professional experience. Professional experience in supply chain and/or clinical trials is a strong asset;
Proven experience in Project Management/Management Consulting is a plus
You are customer focus: the customer is at the center of everything you do and you work in partnership with the customer. You always strive to challenge the customer;
You have strategic thinking: you have the ability to conceive, push and promote a strategy while keeping in mind the big picture. You have a willingness to bring innovation and ability to identify business opportunities for change.
You are an Intrapreneur: you are comfortable taking a part in defining your own role and responsibilities and frequently take initiatives. You are not afraid to roll up your sleeves and proactively offer constructive solutions.
You have self leadership: you know yourself and when to ask for help. You are able to take a step back and adapt to changing circumstances.
You have outstanding communication skills;
You are a project manager: you have excellent project management skills with a proactive and constructive approach
You have result-orientated mindset: you are able and willing to set strategic objectives and pursue them with drive. You are analytical and like solving problems;
You are a team player, with a high sense of responsibility, adaptability and initiative;
You are open-minded and you like to work in an international environment;
Fluent in English & French.
Travel: ~10%
Location: Louvain-la-Neuve, Belgium
Start date: January/March 2022Internal job level: Consultant/Senior Consultant depending on experience
Our offer
You will join an innovative, dynamic and multicultural company certified as one of the Best Workplaces in Belgium, Great Place to Work 2021 and B Corporation. We will offer you an important and diverse role in our quickly expanding department.
N-SIDE offers a great compensation package, which includes a company car and full range of benefits which can be personalised thanks to our Flex Income Plan.
You will be part of a fun and flexible work environment in which creativity, freedom and initiative are rewarded. Mentoring, career development opportunities and performance bonuses are all part of keeping our team happy.
At N-SIDE we value diversity. All candidates will be treated equally without regard to race, color, religion, sex, age, sexual orientation, citizenship, disability, gender identity, marital or family status, veteran status or any other legally protected basis, in accordance with applicable law. N-SIDE will not tolerate discrimination or harassment based on any of these characteristics.
Motivated to join our team and bring N-SIDE to the next level?
We are looking forward to receiving your application!
We are committed to respecting your privacy and protecting your personal data, including any information which allows to identify you as an individual person. N-SIDE uses the applicant’s personal data in a fair and lawful manner. N-SIDE collects and processes personal data in accordance with the privacy statement available in the privacy policy. Personal information (applicant data) submitted by an applicant will only be used by N-SIDE to ensure an effective recruitment process and will be used recruitment purposes only."
"Gent","Billtrust International Careers","nieuwProject Manager","What You'll Do:

As the Project Manager, you will lead project teams to deliver multiple simultaneous projects that span across several business and technology areas.

You will be expected to effectively manage resources, schedule, and quality of deliverables through the full project life cycle (discovery, analysis, design, construction, test and implementation).

Projects you typically manage will address implementing new clients, or implementing additional products purchased by existing clients. You will be proficient in the areas of Project Management, Relationship Management, Business Analysis and Resource Management
Discuss project requirements based on client's statement of work (SOW), and have an understanding of data file specifications, data elements, and file transmission protocol
Use communication and leadership skills to establish a common understanding of project timeline, milestones, and expectations on delivery across internal and external teams
Work closely with the customer to provide forecasts for go live dates and hours estimates
Fearlessly lead projects through all phases of the implementation process, communicating progress and issues with executive stakeholders as needed
Develop and maintain a comprehensive project plan using project management software and execute all stages of the implementation
Host weekly status meetings with clients and proactively track, plan, and report on implementation progress
Assess project issues and identify solutions to meet productivity, quality and customer goals
Monitor change requests and prevent unapproved requirement modifications that result in scope creep
Communicate as needed with third party providers, and effectively manage client expectations
Manage revenue and profit responsibility for projects under direct management
Provide consultative direction, employ good judgement and work in partnership with clients to resolve any potential conflicts or concerns during project execution
The candidate will have significant input and responsibility for quality and timeliness of all project deliverables
What You'll Bring to the Team:
3+ years of experience in full life-cycle project management of small to medium scale technical projects
Ability to discuss both technical and business project requirements in detail
Leadership skills to lead up, across, and down multiple business and technology organizations
Strong skills and experience in issue resolution, with the ability to influence team members and other stakeholders, and the ability to conduct difficult negotiations
Excellent organizational skills to manage multiple projects concurrently
Excellent written and oral presentation skills to conduct client and status meetings
Experience with Project Management Tools to execute under accelerated timeframes is a plus
Bachelor's Degree, with a technology or business emphasis, or equivalent education/experience
What You'll Get:
A permanent contract at a rapidly growing Fintech company
An environment where your personal talent has an impact and where you will have opportunities to grow your expertise through training and development
A competitive salary, the right tools to be successful and a range of fringe benefits
An incredibly open-minded, driven, dynamic international team and a company culture that encourages freedom, creativity and collaboration
A flexible work environment in one of our offices or 100% remote
Fun team activities: weekly apero, boxing classes, lunch activities, and more!"
"Izegem","televic","Internal Project Manager (Rail)","Type de poste:
Professional
Type d'emploi:
Project Management
Lieu:
Izegem , Belgique
Business unit:
Televic Rail
Numéro de référence:
1021-388Interested in coordinating various R&D projects?
Excited to work interdisciplinary?
And eager to work for an international organization that is in full expansion?
The Big Picture
At Televic Rail we design, develop, test and maintain on-board passenger information and mechatronic safety systems for the railway sector. We are considered the n°1 reference, hence our search for colleagues who are passionate about technology and innovation.
As internal project manager you follow-up on software development in several parallel projects, ensuring deadlines and expectations are met. You collaborate daily with the project managers, R&D engineers and team leads. You report directly to the project management team lead.
The Details
As internal project manager, you
Set up and maintain a detailed development plan per project and master plan across projects (in cooperation with the project manager and R&D);
Identify resources needed to complete a project and negotiate assignments with functional managers;
Monitor and identify mitigations for project risks;
Provide statistical information for management to assess project status;
Translate client needs towards the R&D organization.
As Scrum lead for multiple software development teams, you facilitate processes & organize meetings whilst enabling cooperation across all roles and functions. You’re also responsible for reporting progress and keeping time and quality requirements.
You interact with project managers and after-sales to coordinate and deliver new software releases.
About You
You are a functional analyst able to understand and steer software development.
You have strong project management skills which enable you to define and set priorities accordingly.
You have a Master’s degree in engineering (Electronics, Computer Sciences) with a first experience in product development, preferably software oriented.
You have experience in practicing agile methodologies and look forward to working with Atlassian tools.
You like to work interdisciplinary, easily communicate with different internal stakeholders and you have a strong sense of ownership.
About Televic
Wherever communication needs technology, Televic is at work. We develop, manufacture and install high-tech communication systems with focus on 4 niche markets: Conference, Education, Healthcare and Rail. Televic Rail is the lead supplier for high-quality on-board communication and control systems. As a Rail colleague you get the opportunity to collaborate with top-notch references worldwide (e.g. Hitachi, Siemens, Eurostar, NMBS and Bombardier).
Our Offer
We welcome you in our modern headquarters in Izegem. We offer you an attractive salary with exciting legal benefits and the possibility to participate in our personalized Televic Bonus Plan.
Our strong focus on training and development sets us apart! At Televic, you work in a stimulating environment that emphasizes your unique talents and growth.
We value direct communication, team spirit and a drive for results."
